numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
2391;60509015000101-2-001837/2025;CEDRO CONSTRUTORA E INCORPORADORA LTDA;44.209.567/0001-48;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1837
C 052;83102343000194-2-001876/2025;WM GARDEN SERVIÇOS DE JARDINAGEM LTDA - EPP;13.960.759/0001-68;EXECUÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA, COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, DE PAISAGISMO E ROÇADA (SERVIÇO DE APOIO, MANEJO DE JARDINAGEM, LIMPEZA DE CANTEIROS, ROÇADA E PODA) DENTRO DOS LIMITES DO MUNICÍPIO DE BRUSQUE;MUNICIPIO DE BRUSQUE;Brusque;SC;Pregão - Eletrônico;https://pncp.gov.br/contratos/83102343000194/2025/1876
161;13658158000103-2-000149/2025;FV CONSTRUTORA E TERRAPLENAGEM LTDA;10.901.477/0001-00;OBRAS E SERVICOS DE ENGENHARIA.;MUNICIPIO DE ARATACA;Arataca;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13658158000103/2025/149
22947;43052497000102-2-000027/2026;RESOLUTE ENGENHARIA LTDA;58.019.340/0001-44;CONTRATAÇÃO DAS OBRAS E SERVIÇOS DE RECUPERAÇÃO DE GALERIA E SUAS ALAS A JUSANTE, RECOMPOSIÇÃO DE TALUDE, RECUPERAÇÃO DE DRENAGEM SUPERFICIAL E PAVIMENTO NA SP 147, KM 39+950, NO MUNICÍPIO DE ITAPIRA;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/43052497000102/2026/27
1953;60509015000101-2-001405/2025;LOPES STAUDT ENGENHARIA LTDA;34.998.767/0001-73;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1405
19;13717517000148-2-000017/2026;RK MANUTENCAO SERVICE LTDA;29.292.534/0001-10;Contratação de empresa especializada em obras e serviços de engenharia para execução de pavimentação de vias públicas na cidade de Morro do Chapéu/Ba, conforme contrato de repasse nº 971930/2024/MCIDADES/CAIXA.;MUNICIPIO DE MORRO DO CHAPEU;Morro do Chapéu;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13717517000148/2026/17
C 054;83102343000194-2-003729/2025;AGRO PRESTADORA DE SERVICOS LTDA.;20.525.400/0001-28;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS COMUM DE ENGENHARIA DE LOCAÇÃO, POR HORA TRABALHADA, DE MINI CARREGADEIRA, INCLUSO SISTEMA DE MONITORAMENTO E RASTREAMENTO GPS NOS EQUIPAMENTOS, MÃO DE OBRA DE OPERADOR/MOTORISTA DEVIDAMENTE HABILITADO E COMBUSTÍVEL. Conforme condições e exigências estabelecidas no DFD - Documento de Formalização da Demanda, Termo de Referência, e demais documentos que instruem o processo.;MUNICIPIO DE BRUSQUE;Brusque;SC;Dispensa;https://pncp.gov.br/contratos/83102343000194/2025/3729
230-2025;13797188000192-2-000174/2025;CONSTRUSETE CONSTRUTORA LTDA;13.438.063/0001-76;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA EXECUÇÃO DE OBRAS/SERVIÇOS DE CONSTRUÇÃO DE CRECHE E ESCOLA DE EDUCAÇÃO INFANTIL, NO BAIRRO DO APAGA FOGO, NAZARÉ/BA – FNDE – CRECHE TIPO II, CONFORME TERMO DE COMPROMISSO Nº 959005/2024/FNDE/CAIXA.;MUNICIPIO DE NAZARE;Nazaré;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13797188000192/2025/174
357D;14105183000114-2-000529/2025;CONSTRUTORA PRESERVA LTDA;23.449.955/0001-26;Contratação de empresa especializada do ramo de engenharia civil para a Prestação de Serviços de Obras de Construção, Ampliação e Reformas das Escolas Municipal, visando o período letivo de 2026.;MUNICIPIO DE BOM JESUS DA LAPA;Bom Jesus da Lapa;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14105183000114/2025/529
11117-0/2025;45685872000179-2-002813/2025;EPCCO - ENGENHARIA DE PROJETOS, CONSULTORIA E CONSTRUÇÕES LTDA.;61.106.159/0001-80;"REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES, OBJETIVANDO A CONTRATAÇÃO DE EMPRESA 
VISANDO A EXECUÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO EM DIVERSAS RUAS DO MUNICÍPIO. SECRETARIA MUNICIPAL DE PLANEJAMENTO, OBRAS E MEIO AMBIENTE.";MUNICIPIO DE REGISTRO;Registro;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/45685872000179/2025/2813
7261-0/2025;45685872000179-2-001773/2025;EPCCO - ENGENHARIA DE PROJETOS, CONSULTORIA E CONSTRUÇÕES LTDA.;61.106.159/0001-80;"REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES, OBJETIVANDO A CONTRATAÇÃO DE EMPRESA 
VISANDO A EXECUÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO EM DIVERSAS RUAS DO MUNICÍPIO. SECRETARIA MUNICIPAL DE PLANEJAMENTO, OBRAS E MEIO AMBIENTE.";MUNICIPIO DE REGISTRO;Registro;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/45685872000179/2025/1773
6457-0/2025;45685872000179-2-001752/2025;EPCCO - ENGENHARIA DE PROJETOS, CONSULTORIA E CONSTRUÇÕES LTDA.;61.106.159/0001-80;"REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES, OBJETIVANDO A CONTRATAÇÃO DE EMPRESA 
VISANDO A EXECUÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO EM DIVERSAS RUAS DO MUNICÍPIO. SECRETARIA MUNICIPAL DE PLANEJAMENTO, OBRAS E MEIO AMBIENTE.";MUNICIPIO DE REGISTRO;Registro;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/45685872000179/2025/1752
102;46634465000103-2-000029/2025;TOPCONS ENGENHARIA SERVICOS E LOCACOES LTDA;19.927.082/0001-42;Contratação de empresa especializada para a execução das obras de ampliação do prédio da EMEF. “José de Moura Glasser”;MUNICIPIO DE TAPIRAI;Tapiraí;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46634465000103/2025/29
5;03659166000102-2-000401/2024;CERQUEIRA E ARAUJO CONSTRUCOES E SERVICOS LTDA;26.442.478/0001-65;CONTRATAÇÃO DE EXECUÇÃO DAS OBRAS DE ENGENHARIA PARA REFORMA E AMPLIAÇÃO DO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES DO IBAMA EM PORTO SEGURO - BA,   CONFORME CONDIÇÕES E EXIGÊNCIAS  ESTABELECIDAS NA FORMA, LOCAIS, QUANTIDADES, ESPECIFICAÇÕES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA E SEUS ANEXOS.;INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVAVEIS-IBAMA;Salvador;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/03659166000102/2024/401
4;52561214000130-2-000007/2025;SANEVALE SERVIÇOS BÁSICOS  LTDA.;01.835.288/0001-87;Contratação de empresa especializada para execução das obras e serviços de engenharia para implantação de sistema de esgotamento sanitario em SABAUNA;SERVICO MUNICIPAL DE AGUAS E ESGOTOS;Mogi das Cruzes;SP;Concorrência - Presencial;https://pncp.gov.br/contratos/52561214000130/2025/7
68;03918310000188-2-000011/2024;F. A. CONSTRUÇÃO DE EDIFICIOS LTDA;33.146.979/0001-60;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A TOTAL EXECUÇÃO (COMPREENDENDO MATERIAL E MÃO DE OBRA), DE REFORMA, REVITALIZAÇÃO E AMPLIAÇÃO DO MERCADO PÚBLICO E CULTURAL LEOPOLDO KURTZ DE TIMBÓ/SC, EM PLENA E TOTAL CONFORMIDADE COM OS MEMORIAIS DESCRITIVOS, QUANTITATIVOS, PROJETOS, ORÇAMENTO ESTIMATIVO, CRONOGRAMA FÍSICO FINANCEIRO, MINUTAS CONTRATUAIS E DEMAIS DOCUMENTOS RELACIONADOS. PAGAMENTO MEDIANTE CONTRATO DE FINANCIAMENTO Nº 0610248-07 (FINISA). CONTRATO DE FINANCIAMENTO Nº 0610248 - 07 FINISA;FUNDACAO DE CULTURA E TURISMO DE TIMBO - FCT;Timbó;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/03918310000188/2024/11
22907;43052497000102-2-000014/2026;AUTEM ENGENHARIA LTDA;26.511.662/0001-10;CONTRATAÇÃO DE OBRAS E SERVIÇOS EM CARÁTER EMERGENCIAL DE SUBSTITUIÇÃO DA GALERIA POR PONTE NA RODOVIA SPA-059/345, KM 5,779;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Dispensa;https://pncp.gov.br/contratos/43052497000102/2026/14
79;45301264000113-2-000486/2025;RR CONSTRUÇÕES E MATERIAIS DE CONSTRUÇÃO UNIPESSOAL LTDA;18.835.435/0001-11;Contratação de empresa de engenharia especializada na execução de obras e serviços para CONSTRUÇÃO DE UMA CRECHE PADRÃO F.D.E. 7 SALAS, NO JARDIM SAKAIDA, neste Município de Mogi Guaçu SP.;MUNICIPIO DE MOGI-GUACU;Mogi Guaçu;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45301264000113/2025/486
