numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
1;83845701000159-2-000005/2026;G4F SOLUCOES CORPORATIVAS LTDA;07.094.346/0001-45;Contratação de serviços continuados de apoio à execução e à fiscalização de contratos que tenham por objeto obras e serviço de engenharia, bem como apoio às atividades de desenvolvimento e programação de sistemas, a serem executados nas dependências dos prédios do Poder Judiciário do Estado de Santa Catarina, para execução no regime de empreitada por preço unitário, com dedicação exclusiva da mão de obra,compreendendo, inclusive, o fornecimento de equipamentos de telefonia e de informática (notebook e software), além de equipamentos de proteção individual (EPIs).;SANTA CATARINA TRIBUNAL DE JUSTICA;Florianópolis;SC;Pregão - Eletrônico;https://pncp.gov.br/contratos/83845701000159/2026/5
14;00394452000103-2-007720/2024;FRAGA CONSTRUCOES E ENGENHARIA LTDA;12.713.820/0001-00;CONTRATAÇÃO DE SERVIÇOS PERICIAIS DE ENGENHARIA DE CONSTRUÇÃO DO SANGRADOURO (VERTEDOURO), TOMADA D’ÁGUA, DEMOLIÇÃO E CONSTRUÇÃO DE PONTE, FORNECIMENTO E INSTALAÇÃO DE SISTEMA ELÉTRICO, INSTRUMENTAÇÃO, ESTAÇÃO DE RECALQUE, BRITAGEM, SINALIZAÇÃO VIÁRIA E OBRAS COMPLEMENTARES, LOCALIZADAS NA BARRAGEM DE ARVOREZINHA EM BAGÉ-RS.;COMANDO DO EXERCITO;Lages;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/00394452000103/2024/7720
100053;50853555000154-2-000111/2026;CELEBRE OBRAS E SERVIÇOS LTDA;12.609.247/0001-99;CONTRATAÇÃO DE  EMPRESA DE  ENGENHARIA  PARA PRESTAÇÃO DE SERVIÇO DE SUBSTITUIÇÃO DE REDES DE DISTRIBUIÇÃO DE ÁGUA, TROCA DE RAMAIS PELO MÉTODO NÃO DESTRUTIVO (MND) E SUBSTITUIÇÃO DE ADUTORA DE ÁGUA TRATADA, REFERENTE AO PROJETO DE REDUÇÃO DE PERDAS E SETORIZAÇÃO NO BAIRRO SANTA TEREZINHA NA CIDADE DE PIRACICABA  SP.;SERVICO MUNICIPAL DE AGUA E ESGOTO;Piracicaba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/50853555000154/2026/111
70;82911249000113-2-000067/2026;ECO PRIME ENGENHARIA LTDA;08.068.681/0001-31;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA CONSTRUÇÃO DE UMA PONTE EM CONCRETO COM 249,94 METROS DE COMPRIMENTO TOTAL, SOBRE O RIO ARARANGUÁ, LIGANDO A LOCALIDADE DE HERCÍLIO LUZ E O ACESSO PARA O MORRO DOS CONVENTOS, MUNICÍPIO DE ARARANGUÁ/SC - CONVÊNIO N. 2025TR002010 - SECRETARIA DE ESTADO DA INFRAESTRUTURA E MOBILIDADE - SIE - ESTADO DE SANTA CATARINA, CONFORME INFORMAÇÕES APRESENTADAS E CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NO INSTRUMENTO CONVOCATÓRIO, PROJETO BÁSICO, MEMORIAL DESCRITIVO, CRONOGRAMA E DEMAIS ANEXOS.;MUNICIPIO DE ARARANGUA;Araranguá;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82911249000113/2026/67
22916;43052497000102-2-000024/2026;DGB ENGENHARIA E CONSTRUCOES LTDA;61.608.477/0001-49;CONTRATAÇÃO DAS OBRAS E SERVIÇOS DE IMPLANTAÇÃO DO DISPOSITIVO DE SEGURANÇA EM DESNÍVEL DE ACESSO E RETORNO AO MUNICÍPIO DE TAMBAÚ/SP, NA RODOVIA SP 332, KM 271+650M;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/43052497000102/2026/24
366;14100747000126-2-000267/2025;PEROLI ENGENHARIA LTDA;17.275.476/0001-38;Registro de preços para contratação de empresa especializada para, sob demanda,  executar serviços comuns de engenharia, compreendendo serviços de manutenção predial, reformas e reparos estruturais, obras de requalificação e demais intervenções correlatas, com fornecimento de materiais, equipamentos e mão de obra qualificada, mediante aplicação de percentual de desconto único e fixo sobre os preços unitários da Tabela SINAPI vigente, visando atender às necessidades de infraestrutura, manutenção;MUNICIPIO DE RIACHAO DAS NEVES;Riachão das Neves;BA;Pregão - Eletrônico;https://pncp.gov.br/contratos/14100747000126/2025/267
11;50176270000126-2-000043/2026;G2O GERENCIAMENTO E OBRAS LTDA;05.268.723/0001-90;Contratação de empresa de engenharia especializada em serviços de manutenção preventiva e corretiva do conjunto formado pelas placas de brise localizadas na fachada da cobertura do Edifício Sede do TCMSP.;SAO PAULO TRIBUNAL DE CONTAS DO MUNICIPIO;São Paulo;SP;Dispensa;https://pncp.gov.br/contratos/50176270000126/2026/43
0013/26;46965083000154-2-000011/2026;ARION CONSTRUCOES E GERENCIAMENTO DE OBRAS LTDA;10.836.143/0001-91;"Contratação de empresa de engenharia especializada para execução da obra de retrofitting
da ETE Laranja Azeda";SERVICO DE AGUA E ESGOTO DE PIRASSUNUNGA;Pirassununga;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46965083000154/2026/11
5;18560547000107-2-000006/2025;CONSTRUTORA LAM LTDA;03.522.765/0001-80;CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA DESTINADOS À EXECUÇÃO DE OBRAS DO PAVILHÃO DE LABORATÓRIOS DO CAMPUS SOSÍGENES COSTA, LOCALIZADO EM PORTO SEGURO-BA;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;Itabuna;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/18560547000107/2025/6
51;49269236000117-2-000039/2025;PENTAGONO SERVICOS DE ENGENHARIA CIVIL E CONSULTORIA LTDA;47.026.679/0001-51;CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE NATUREZA TÉCNICA ESPECIALIZADA PARA APOIO E ASSESSORAMENTO NO DESENVOLVIMENTO DE ATIVIDADES PRELIMINARES, COMPLEMENTARES E DE ACOMPANHAMENTO DE SERVIÇOS E OBRAS DE MELHORIA DE BAIRROS E MOBILIDADE URBANA.;SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/39
664;04892707000100-2-000904/2025;STRATA ENGENHARIA LTDA;38.743.357/0001-32;"CONTRATAÇÃO DOS SERVIÇOS TÉCNICOS DE SUPERVISÃO PARA EXECUÇÃO DOS REMANESCENTES DAS OBRAS DE DUPLICAÇÃO, IMPLANTAÇÃO DE VIAS LATERAIS, ADEQUAÇÃO DE CAPACIDADE E RESTAURAÇÃO COM MELHORAMENTOS DA RODOVIA E DAS OBRAS DE ARTE ESPECIAIS NA BR-116/BA - LOTE 5; TRECHO: DIV. PE/BA (IBÓ) - DIV. BA/MG; SUBTRECHO: ENTR. BA-408 (ARACI) – ENTR. BA-504 (P/ SANTANÓPOLIS); SEGMENTO: KM 334,23 AO KM 387,41; EXTENSÃO: 53,18 KM,";DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES;Salvador;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/04892707000100/2025/904
2432;60509015000101-2-001961/2025;CONSTRUTORA MAXFOX LTDA;10.213.438/0001-01;"CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – CONSTRUÇÃO DE PRÉDIO ESCOLAR

TERRENO B. VITAPOLIS

RUA NELSON FERREIRA DA COSTA, 780 JARDIM VITAPOLIS - ITAPEVI-SP";FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1961
8;47999864000122-2-000005/2026;TREZENTOS60 OBRAS LTDA;23.104.505/0001-00;CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA, COM FORNECIMENTO DE MATERIAIS E MÃO-DE-OBRA, OBJETIVANDO A ADEQUAÇÃO DE LAYOUT DA NOVA SEDE DA CONTROLADORIA GERAL DO ESTADO – CGE-SP;ESP-CONTROLADORIA GERAL DO ESTADO;São Paulo;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/47999864000122/2026/5
1;46384400000149-2-000056/2025;CONSÓRCIO MOB ROTAS RURAIS;58.837.300/0001-00;"PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA NAS ATIVIDADES DE APOIO AO GERENCIAMENTO, FISCALIZAÇÃO E SERVIÇOS COMPLEMENTARES NECESSÁRIOS, ENTRE OUTROS, AO ACOMPANHAMENTO DE OBRAS PÚBLICAS; FISCALIZAÇÕES DE OBRAS; MEDIÇÕES DE OBRAS; DETALHAMENTO E/OU REVISÃO DE PROJETOS; ASSESSORIA TÉCNICA ESPECIALIZADA, APOIO À SUPERVISÃO DAS OBRAS E FAZER CUMPRIR OS CONTRATOS FIRMADOS ENTRE A SECRETARIA DE AGRICULTURA E ABASTECIMENTO E AS EMPRESAS CONTRATADAS PARA EXECUÇÃO DAS OBRAS DE ADEQUAÇÃO E CONSERVAÇÃO DE ESTRADAS RURAIS EM MUNICÍPIOS DO ESTADO DE SÃO PAULO.";SECRETARIA DE AGRICULTURA E ABASTECIMENTO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46384400000149/2025/56
28;13885231000171-2-000029/2026;PORTO CONSTRUTORA E TERRAPLANAGEM LTDA;36.364.039/0001-35;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA NA EXECUÇÃO DE PAVIMENTAÇÃO EM PARALELEPÍPEDO E PISO INTERTRAVADO DE VIAS PÚBLICAS NA SEDE, NO PALAME, DISTRITOS E POVOADOS DO MUNICÍPIO DE ESPLANADA – BAHIA;MUNICIPIO DE ESPLANADA;Esplanada;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13885231000171/2026/29
7;26474056000171-2-000188/2025;CONSTRUTORA PENTAGONO LTDA;34.145.847/0001-86;CONTRATAÇÃO DE SERVIÇOS DE EMPRESA ESPECIALIZADA DE ARQUITETURA, ENGENHARIA E RESTAURAÇÃO PARA EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO DA CASA DE CÂMARA E CADEIA DE MARAGOGIPE, MUNICÍPIO DE MARAGOGIPE/BA.;INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL;Salvador;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/26474056000171/2025/188
35;13394044000195-2-000042/2026;LIGA ENGENHARIA LTDA;15.270.565/0001-66;O objeto do presente a Contratação de Empresa Especializada em Obras e Serviços de Engenharia para a requalificação dos pavimentos e do sistema de drenagem, no Município de Dias d’Ávila– BA.;MUNICIPIO DE DIAS D'AVILA;Dias d'Ávila;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13394044000195/2026/42
112;14126981000122-2-000072/2025;TRACON TRANSPORTES ESPECIALIZADOS LOCAÇÃO E CONSTRUÇÃO – EIRELI;07.346.923/0001-49;CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA PARA CONSTRUÇÃO DE ESPAÇO EDUCATIVO PADRÃO FNDE DE 13 (TREZE) SALAS NO MUNICÍPIO DE ENTRE RIOS – BAHIA, CONFORME PROPOSTA NUMERO 004576/2024;MUNICIPIO DE ENTRE RIOS;Entre Rios;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14126981000122/2025/72
053/2026;14222574000119-2-000015/2026;MMS CONSTRUCOES E SERVICOS EM OBRAS DE URBANIZACAO LTDA;33.738.837/0001-91;[LICITANET] - [LICITANET] - Concorrência eletrônica, para registro de preço, de empresa de engenharia para execução de drenagem e pavimentação em paralelepípedo em diversos trechos do bairro Baldez, no município de Conceição do Jacuípe-BA;MUNICIPIO DE CONCEICAO DO JACUIPE;Conceição do Jacuípe;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14222574000119/2026/15
0124/2026;14217327000124-2-000111/2026;ENGELIMA CONSTRUÇÕES E SERVIÇOS LTDA;07.152.223/0001-13;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS DE ENGENHARIA PARA A EXECUÇÃO DA CONSTRUÇÃO DE UMA ESCOLA PADRÃO FNDE – 13 SALAS, SITUADA NA RUA MARECHAL HERMES DA FONSECA, S/N, BAIRRO CARDEAL BRANDÃO VILELA, MUNICÍPIO DE PAULO AFONSO – BA, CONFORME PROJETOS, MEMORIAIS E DEMAIS DOCUMENTOS TÉCNICOS FORNECIDOS.;MUNICIPIO DE PAULO AFONSO;Paulo Afonso;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14217327000124/2026/111
247;13908702000110-2-000195/2025;IMPACTO AMBIENTAL LTDA.;03.935.550/0001-90;Constitui objeto do presente instrumento a contratação de empresa para EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA, VOLTADOS À CONSTRUÇÃO DE ESCOLA EM TEMPO INTEGRAL DE 13 SALAS, PADRÃO FNDE, NO DISTRITO DE TIQUARA NO MUNICÍPIO DE CAMPO FORMOSO – BA;MUNICIPIO DE CAMPO FORMOSO;Campo Formoso;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13908702000110/2025/195
131;14215826000182-2-000123/2025;CONSTRUSETE CONSTRUTORA LTDA;13.438.063/0001-76;Contratação de empresa especializada em obras e serviços de engenharia para a execução da implantação de uma Passagem Molhada na comunidade de Quixaba, localizada na zona rural do Município de Paripiranga – BA.;MUNICIPIO DE PARIPIRANGA;Paripiranga;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/14215826000182/2025/123
26;46634333000173-2-000004/2026;CONSTRUZEIYN ENGENHARIA LTDA;29.466.485/0001-95;"A Contratada obriga-se a prestar Serviços Técnicos Especializados para construção da Escola Municipal Pública de 9 salas, padrão FNDE (novo PAC), São Miguel Arcanjo- SP, Coordenadas: 23°89'10.2""S, 47°98'33.6""O, nestes inclusos a infraestrutura necessária, com fornecimento de mão-de-obra, materiais e equipamentos necessários, conforme especificações e quantitativos contidos no ANEXO I, do edital da CONCORRÊNCIA ELETRÔNICA N.º 02/2025.";MUNICIPIO DE SAO MIGUEL ARCANJO;São Miguel Arcanjo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46634333000173/2026/4
43;14197586000130-2-000045/2026;PEROLI ENGENHARIA LTDA;17.275.476/0001-38;"Contratação de empresa especializada para executar serviços comuns de engenharia, compreendendo serviços de manutenção predial. reformas e reparos estruturais, obras de requalificação e demais intervenções correlatas, com fornecimento de materiais, equipamentos e mão de obra qualificada, mediante aplicação de percentual de desconto único e fixo sobre os preços unitários da Tabela SINAPI vigente, visando atender às necessidades de infraestrutura, manutenção e melhorias no âmbito do Município de Jacobina/BA. via adesão a ata de registro de preço, conforme especificações e quantitativos estabelecidos no Termo de Referência. 

1.2.	Este Termo de Contrato vincula-se ao termo de adesão n. 001/2026, identificado no preâmbulo e na Ata de Registro de Preço nº 001/2025, gerada do Pregão Eletrônico nº 038/2025, do Município de Riachão das Neves/BA, de   aderida, assim como ETP constante do processo, independentemente de transcrição";MUNICIPIO DE JACOBINA;Jacobina;BA;Pregão - Eletrônico;https://pncp.gov.br/contratos/14197586000130/2026/45
0022/26;46634168000150-2-000016/2026;NOVA DIMENSAO ENGENHARIA LTDA;02.086.562/0001-25;Contratação de empresa especializada para fornecimento de mão de obra, materiais, máquinas, equipamentos e serviços para obras de drenagem.;MUNICIPIO DE AVARE;Avaré;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46634168000150/2026/16
693/2025;13913371000106-2-000629/2025;LM SERVICOS DE ENGENHARIA EIRELI;37.452.815/0001-11;TERMO DE CONTRATO DE EXECUÇÃO DE OBRAS QUE ENTRE SI FAZEM O MUNICÍPIO DE MIRANGABA, BAHIA E A EMPRESA LM SERVIÇOS DE ENGENHARIA LTDA;MUNICIPIO DE MIRANGABA;Mirangaba;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13913371000106/2025/629
311;13908702000110-2-000231/2025;CONSTRUSETE CONSTRUTURA LTDA.;13.438.063/0001-76;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS E SERVIÇOS DE ENGENHARIA VOLTADOS À CONSTRUÇÃO DO CENTRO DE COMERCIALIZAÇÃO DE PRODUTOS ASSOCIADOS AO TURISMO, (SHOPPING DO GARIMPEIRO), NO MUNICÍPIO     DE CAMPO FORMOSO-BA;MUNICIPIO DE CAMPO FORMOSO;Campo Formoso;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13908702000110/2025/231
52;45290418000119-2-001018/2025;ERA-TECNICA ENGENHARIA CONSTRUCOES E SERVICOS LTDA;65.035.222/0001-95;O objeto da presente licitação é execução de serviços de Pavimentação da Estrada Municipal Manoel Lopes de Carvalho (Mané Soldado), com fornecimento de materiais e mão de obra, para atender as necessidades da secretaria de obras e projetos do município de Joanópolis, conforme especificações contidas no Anexo 1 – Memorial Descritivo e seus anexos.;MUNICIPIO DE  JOANOPOLIS;Joanópolis;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45290418000119/2025/1018
134;46523015000135-2-000211/2025;SM CONSTRUÇÕES LTDA.;12.387.134/0001-96;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA ELÉTRICA PARA MANUTENÇÃO CORRETIVA E ASSISTÊNCIA TÉCNICA EM CABINES PRIMÁRIAS DAS UNIDADES PERTENCENTES À PREFEITURA MUNICIPAL DE BARUERI, NOMEADAMENTE AOS PRÓPRIOS PÚBLICOS E UNIDADES ESCOLARES EMEF(s) E EMEIEF(s), CONFORME MEMORIAL DESCRITIVO;MUNICIPIO DE BARUERI;Barueri;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/46523015000135/2025/211
43;82928698000174-2-000903/2025;PAVIMENTAR ENGENHARIA E CONSTRUÇÕES LTDA;29.095.199/0001-60;CONTRATAÇÃO DE PESSOA JURIDICA PARA A EXECUÇÃO DE SERVIÇOS DE TERRAPLANAGEM, DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E SINALIZAÇÃO.;MUNICIPIO DE JAGUARUNA;Jaguaruna;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82928698000174/2025/903
1094;83102459000123-2-002984/2025;PAVIPLAN PAVIMENTACAO LTDA.;03.620.927/0001-12;Contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços preliminares, terraplenagem, drenagem pluvial, obras complementares e sinalização viária, na Estrada Municipal JGS 587 – Vendelin Schmidt na localidade Jaraguazinho, com extensão total de 5.570,00 m (cinco mil quinhentos e setenta metros), em conformidade com o Estudo Técnico Preliminar, Projetos, Memorial Descritivo (Termo de Referência) e Planilha Orçamentária/Quantitativa e demais dispositivos e anexos deste edital. SEI: 0206020000.001323/2025-41;MUNICIPIO DE JARAGUA DO SUL;Jaraguá do Sul;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102459000123/2025/2984
43;48664304000180-2-001737/2025;ARCON ENGENHARIA E SERVICOS LTDA;20.608.820/0001-78;CONTRATACAO DE EMPRESA ESPECIALIZADA EM SERVICOS DE ENGENHARIA COM FORNECIMENTO DE MATERIAL E MAO DE OBRA  PARA EXECUCAO DE OBRAS NO BAIRRO RESIDENCIAL LUIZ CARLOS SANTIN   GUARIBA SP  NA RUA GERALDO GONCALVES SANTANA  N 300  CONTEMPLANDO  LOTE 1   CONSTRUCAO DE ESCOLA DE TEMPO INTEGRAL  PADRAO FNDE  9 SALAS   COM AREA DE 3.589 39 M    LOTE 2   ADEQUACOES NECESSARIAS NO TERRENO E INSTALACAO DE EQUIPAMENTOS PARA IMPLANTACAO DA UNIDADE ESCOLAR.;MUNICIPIO DE GUARIBA;Guariba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/48664304000180/2025/1737
114;46248837000155-2-000043/2024;RENOVA SERVIÇOS DE SANE;11.063.911/0001-84;Contratação de empresa especializada do ramo de engenharia para execução de obras de substituição de redes antigas de distribuição de água potável, construídas em ferro fundido e cimento amianto, por redes novas em PEAD, empregando no processo construtivo o Método Não Destrutivo (MND), a ser realizada nos bairros Vila Polar e Vila Santa Terezinha, na cidade de Vargem Grande do Sul – SP;MUNICIPIO DE VARGEM GRANDE DO SUL;Vargem Grande do Sul;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46248837000155/2024/43
18101;46319000000150-2-000813/2025;MACOR ENGENHARIA CONSTRUCOES E COMERCIO S.A;57.646.374/0001-04;EXECUÇÃO DE OBRA DE CONTENÇÃO DE MARGEM DE CÓRREGO, LOCALIZADO PRÓXIMO A RUA PANAIR – VILA RIO DE JANEIRO – GUARULHOS/SP.;MUNICIPIO DE GUARULHOS;Guarulhos;SP;Dispensa;https://pncp.gov.br/contratos/46319000000150/2025/813
050/2025;13927819000140-2-000006/2025;QG CONSTRUÇÕES E ENGENHARIA LTDA;05.647.206/0001-21;PRESTAÇÃO DE SERVIÇOS DE LIMPEZA DE CANAIS, LIMPEZA DE OBRAS DE ARTE CORRENTES E RECUPERAÇÃO DE TRECHOS DANIFICADOS NO MUNICÍPIO DE LAURO DE FREITAS/BA.;MUNICIPIO DE LAURO DE FREITAS;Lauro de Freitas;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13927819000140/2025/6
2-802;13650403000128-2-000670/2025;HUAI ENGENHARIA COMERCIO E SERVICOS LTDA;06.934.119/0002-07;Contratação de empresa especializada em execução de obras de pavimentação e requalificação de diversas vias em concreto simples moldado in loco e a execução de lombadas em concreto simples, no município de Teixeira de Freitas/BA, em conformidade com o Termo de Referência, Planilha Orçamentária, Edital licitatório Concorrência Eletrônica n.º 005-2025, e nas condições estabelecidas neste instrumento.;MUNICIPIO DE TEIXEIRA DE FREITAS;Teixeira de Freitas;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13650403000128/2025/670
582;13915632000127-2-000452/2025;BULOKE CONSTRUCAO E SERVICOS LTDA;32.464.110/0001-09;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA
PARA A EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO EM CONCRETO USINADO POLIDO ESTAMPADO EM DIVERSOS LOGRADOUROS DO MUNICÍPIO DE JUAZEIRO/BA.";MUNICIPIO DE JUAZEIRO;Juazeiro;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13915632000127/2025/452
058/2024;13809397000109-2-000011/2024;CONSTRUTORA BOA VISTA LTDA;52.020.629/0001-05;Contratação de pessoa juridica especializada em obras e serviços de engenharia visando a construção de unidade escolar com 09 (nove) salas de aula, térrea, padrão FNDE no Bairro Vila Operária, sede do Município de Ribeira do Pombal/BA.;MUNICIPIO DE RIBEIRA DO POMBAL;Ribeira do Pombal;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13809397000109/2024/11
118;49269236000117-2-000094/2025;PENTAGONO SERVICOS DE ENGENHARIA CIVIL E CONSULTORIA LTDA;47.026.679/0001-51;"CONTRATAÇÃO DE EMPRESA PARA MONITORAMENTO TÉCNICO “IN LOCO” DAS OBRAS E SERVIÇOS DE INFRAESTRUTURA URBANA REALIZADOS POR CONCESSIONÁRIAS E PERMISSIONÁRIAS NAS VIAS PÚBLICAS DO MUNICÍPIO DE SÃO PAULO, COM APOIO DE SISTEMA INFORMATIZADO DE OTIMIZAÇÃO QUE POSSIBILITE O REGISTRO, O CONTROLE E A ANÁLISE DAS INTERVENÇÕES, ASSEGURANDO A CONFORMIDADE COM AS NORMAS
TÉCNICAS E REGULAMENTAÇÕES MUNICIPAIS VIGENTES.";SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/94
44;83845701000159-2-000034/2025;Estel Engenharia Ltda;82.144.338/0001-81;Contratação de serviços continuados de engenharia e arquitetura, relacionados à elaboração de projetos destinados a obras de reforma, ampliação ou construção de novas edificações para o PJSC, no regime de empreitada por preço unitário, em consonância com a Resolução n. 114/2010 do Conselho Nacional de Justiça, com as especificações técnicas descritas no projeto básico e seus anexos.;SANTA CATARINA TRIBUNAL DE JUSTICA;Florianópolis;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83845701000159/2025/34
2201;83779462000186-2-000001/2026;FREEDOM ENGENHARIA E CONSTRUÇÃO LTDA.;03.453.030/0001-41;Contratação de empresa especializada na prestação de serviços comuns de engenharia, para a execução de serviços de recomposição de pavimentação asfáltica em geral na rede do Sistema Rodoviário Municipal (tapa-buraco) e a execução de recomposição de pavimentação asfáltica em obras de implantação novas e substituição de redes e adutoras, novas ligações domiciliares, mudança de ligações, interligações e intervenções nas redes de abastecimento de água do Sistema Rodoviário Municipal de Blumenau, de acordo com especificações, quantitativos e condições estabelecidas nesse documento;SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO;Blumenau;SC;Pregão - Eletrônico;https://pncp.gov.br/contratos/83779462000186/2026/1
14;83102459000123-2-000138/2026;INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA;03.094.645/0001-29;Contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços preliminares, terraplenagem, drenagem pluvial, obras complementares e sinalização viária, na Rua 1197 – Osvaldo Ehlert, no bairro Rio da Luz e Estrada Municipal JGS 489 – Erico Oto Hornburg na localidade Rio da Luz Vitória, com extensão total de 4.180,00 m (quatro mil cento e oitenta metros), em conformidade com o Estudo Técnico Preliminar, Projetos, Memorial Descritivo (Termo de Referência) e Planilha Orçamentária/Quantitativa e demais dispositivos e anexos deste edital. SEI: 0206020000.000044/2026-41;MUNICIPIO DE JARAGUA DO SUL;Jaraguá do Sul;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/83102459000123/2026/138
17;13698782000126-2-000017/2026;MASTER SERVICOS, LIMPEZA E LOCACOES LTDA;13.183.588/0001-08;[LICITANET] - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A EXECUÇÃO DA CONSTRUÇÃO DE UNIDADES HABITACIONAIS, NO ÂMBITO DO PROGRAMA MINHA CASA, MINHA VIDA – MCMV SUB-50, NO MUNICÍPIO DE QUIJINGUE/BA, CONFORME TERMO DE COMPROMISSO Nº 974429/2024/MCIDADES/CAIXA, ABRANGENDO A EXECUÇÃO INTEGRAL DOS SERVIÇOS PREVISTOS NOS PROJETOS BÁSICOS E EXECUTIVOS APROVADOS, INCLUINDO FORNECIMENTO DE MATERIAIS, MÃO DE OBRA, EQUIPAMENTOS E DEMAIS INSUMOS NECESSÁRIOS, OBSERVADAS AS CONDIÇÕES, QUANTIDADES, ESPECIFICAÇÕES TÉCNICAS E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA, NO EDITAL DE LICITAÇÃO E NOS NORMATIVOS DA CAIXA ECONÔMICA FEDERAL, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E NO TERMO DE REFERÊNCIA.;MUNICIPIO DE QUIJINGUE;Quijingue;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13698782000126/2026/17
